testing 1, 2, 3.
394,2020/3/2 13:5:0,76,98532.3
395,2020/3/2 13:5:1,76,98541.5
396,2020/3/2 13:5:2,76,98522.4
397,2020/3/2 13:5:3,76,98524.7
398,2020/3/2 13:5:4,76,98526.3
399,2020/3/2 13:5:5,76,98511.2
400,2020/3/2 13:5:6,76,98513.9
401,2020/3/2 13:5:7,76,98517.5
402,2020/3/2 13:5:8,76,98516.2
403,2020/3/2 13:5:9,76,98521.0
404,2020/3/2 13:5:10,76,98521.0
405,2020/3/2 13:5:11,76,98521.0
406,2020/3/2 13:5:12,76,98521.0
407,2020/3/2 13:5:13,76,98520.6
408,2020/3/2 13:5:14,76,98519.4
409,2020/3/2 13:5:15,76,98513.8
410,2020/3/2 13:5:16,76,98521.0
411,2020/3/2 13:5:18,76,98516.2
412,2020/3/2 13:5:19,76,98513.0
413,2020/3/2 13:5:20,76,98511.4
414,2020/3/2 13:5:21,76,98515.4
415,2020/3/2 13:5:22,76,98522.5
416,2020/3/2 13:5:23,76,98515.4
417,2020/3/2 13:5:24,76,98518.9
418,2020/3/2 13:5:25,76,98523.2
419,2020/3/2 13:5:26,76,98517.2
420,2020/3/2 13:5:27,76,98526.3
421,2020/3/2 13:5:28,76,98518.7
422,2020/3/2 13:5:29,76,98517.9
423,2020/3/2 13:5:30,76,98513.1
424,2020/3/2 13:5:31,76,98512.8
425,2020/3/2 13:5:32,76,98518.0
426,2020/3/2 13:5:33,76,98518.4
427,2020/3/2 13:5:34,76,98524.8
428,2020/3/2 13:5:35,76,98526.8
429,2020/3/2 13:5:36,76,98521.7
430,2020/3/2 13:5:37,76,98530.0
431,2020/3/2 13:5:38,76,98528.9
432,2020/3/2 13:5:39,76,98531.3
433,2020/3/2 13:5:40,76,98539.0
434,2020/3/2 13:5:41,76,98541.8
435,2020/3/2 13:5:42,76,98549.4
436,2020/3/2 13:5:43,76,98550.6
437,2020/3/2 13:5:44,76,98550.2
438,2020/3/2 13:5:45,76,98549.1
439,2020/3/2 13:5:46,76,98553.9
440,2020/3/2 13:5:47,76,98550.3
441,2020/3/2 13:5:48,76,98554.8
442,2020/3/2 13:5:49,76,98561.1
443,2020/3/2 13:5:50,76,98562.0
444,2020/3/2 13:5:51,76,98567.9
445,2020/3/2 13:5:52,76,98567.2
446,2020/3/2 13:5:53,76,98564.9
447,2020/3/2 13:5:54,76,98558.9
448,2020/3/2 13:5:55,76,98557.8
449,2020/3/2 13:5:56,76,98563.8
450,2020/3/2 13:5:57,76,98555.1
451,2020/3/2 13:5:59,76,98565.0
452,2020/3/2 13:6:0,76,98566.7
453,2020/3/2 13:6:1,76,98567.8
454,2020/3/2 13:6:2,76,98575.1
455,2020/3/2 13:6:3,76,98578.6
456,2020/3/2 13:6:4,76,98578.7
457,2020/3/2 13:6:5,76,98575.5
458,2020/3/2 13:6:6,76,98589.5
459,2020/3/2 13:6:7,76,98591.2
460,2020/3/2 13:6:8,76,98590.4
461,2020/3/2 13:6:9,76,98590.4
462,2020/3/2 13:6:10,76,98588.8
463,2020/3/2 13:6:11,76,98595.2
464,2020/3/2 13:6:12,75,98594.0
465,2020/3/2 13:6:13,76,98596.4
466,2020/3/2 13:6:14,75,98600.8
467,2020/3/2 13:6:15,76,98606.8
468,2020/3/2 13:6:16,76,98604.8
469,2020/3/2 13:6:17,76,98609.6
470,2020/3/2 13:6:18,75,98614.0
471,2020/3/2 13:6:19,75,98618.8
472,2020/3/2 13:6:20,75,98611.3
473,2020/3/2 13:6:21,75,98609.7
474,2020/3/2 13:6:22,75,98608.9
475,2020/3/2 13:6:23,75,98611.3
476,2020/3/2 13:6:24,75,98614.5
477,2020/3/2 13:6:25,75,98613.3
478,2020/3/2 13:6:26,75,98620.9
479,2020/3/2 13:6:27,75,98620.6
480,2020/3/2 13:6:28,75,98626.5
